# timestamp tx ty tz qx qy qz qw
1311868164.363181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.36318111 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1311868164.39902592 -0.00406898 0.01209191 -0.00104013 0.00151277 0.00050997 -0.00187363 0.99999697
1311868164.43094015 -0.00143548 0.02043322 -0.00065305 0.00146882 -0.00242249 -0.00385412 0.99998856
1311868164.46305513 0.00338963 0.01559960 -0.00426208 -0.00283429 -0.00399158 -0.00599801 0.99997003
1311868164.49913001 0.00254754 0.01135112 -0.00604554 -0.00619650 -0.00146775 -0.00849792 0.99994362
1311868164.53102493 0.01526034 0.00743863 -0.01326177 -0.00777381 -0.00167445 -0.00986948 0.99991968
1311868164.56300402 0.02247746 0.00831506 -0.01608854 -0.00700713 -0.00066772 -0.01139001 0.99991036
1311868164.59906101 0.02235638 0.01020499 -0.01706335 -0.00503100 0.00097443 -0.01362842 0.99989400
1311868164.63113999 0.01994705 0.01314606 -0.02075949 -0.00216570 0.00317047 -0.01511397 0.99987841
1311868164.66310501 0.04253132 0.02633014 -0.05265261 -0.00238902 0.00559750 -0.03099715 0.99950094
1311868164.69898701 0.02419530 0.01638088 -0.03036910 -0.00050977 0.00123367 -0.01527463 0.99988245
1311868164.73104620 0.02869955 0.01329587 -0.02976080 -0.00106840 -0.00035682 -0.01484624 0.99988915
1311868164.76309800 0.03379613 0.01839182 -0.02987366 0.00269870 -0.00166364 -0.01498056 0.99988276
1311868164.79913807 0.04030906 0.02814762 -0.02830074 0.00884117 -0.00277296 -0.01563157 0.99983489
1311868164.83100605 0.04932961 0.02835254 -0.03671586 0.01380364 -0.00419156 -0.01490021 0.99978491
1311868164.86305809 0.04933545 0.01947170 -0.04818190 0.01469746 -0.00127718 -0.01642281 0.99975629
1311868164.89913201 0.06766849 0.01417532 -0.04270256 0.01571239 -0.00235646 -0.01726656 0.99972468
1311868164.93093300 0.07304862 0.02237359 -0.04276828 0.02060807 -0.00048379 -0.01926578 0.99960187
1311868164.96311903 0.12901193 0.02312505 -0.07857262 0.03786657 -0.00076086 -0.02687890 0.99892095
1311868164.99903703 0.08022887 0.02336343 -0.05246818 0.01856767 -0.00061631 -0.02170159 0.99959187
1311868165.03112197 0.09096621 0.02597348 -0.05416236 0.01954818 -0.00486022 -0.02151269 0.99956563
1311868165.06310797 0.10206157 0.02495614 -0.05941880 0.01907101 -0.00965787 -0.02294857 0.99950807
1311868165.09916186 0.11342209 0.02534844 -0.06277466 0.01915237 -0.01358530 -0.02607968 0.99938405
1311868165.13101411 0.12628188 0.01965411 -0.06508875 0.01938224 -0.01687328 -0.02745380 0.99929271
1311868165.16314602 0.13632164 0.01816504 -0.06961904 0.02041000 -0.01903832 -0.03020365 0.99915400
1311868165.19914484 0.14525307 0.01977618 -0.07378732 0.02131089 -0.02066037 -0.03280435 0.99902096
1311868165.23119307 0.15674772 0.02217034 -0.07814077 0.02111657 -0.02227213 -0.03428808 0.99894062
1311868165.26300502 0.25444476 0.02677508 -0.11150772 0.02082053 -0.04946361 -0.05023829 0.99729433
1311868165.29910302 0.17493767 0.04165274 -0.08760228 0.02224260 -0.02836453 -0.03785532 0.99863291
1311868165.33122587 0.19615776 0.04454770 -0.08537302 0.01890027 -0.03597977 -0.03927057 0.99840175
1311868165.36306000 0.20599755 0.03243950 -0.08873959 0.01296052 -0.03941633 -0.03898686 0.99837789
1311868165.39915991 0.21468457 0.02967549 -0.09705590 0.01111467 -0.04082174 -0.04025968 0.99829315
1311868165.43096185 0.21635668 0.03781303 -0.10081230 0.01077214 -0.04004287 -0.03988450 0.99834351
1311868165.46311402 0.22819622 0.05219600 -0.10130727 0.01085043 -0.04176682 -0.03933147 0.99829396
1311868165.49917889 0.23611632 0.04430588 -0.10250889 0.00194743 -0.04402509 -0.03545300 0.99839926
1311868165.53112411 0.24019806 0.04777619 -0.10495350 -0.00175911 -0.04473611 -0.03516884 0.99837805
1311868165.56305385 0.33624850 0.08108368 -0.12554275 -0.02431773 -0.06659435 -0.03445988 0.99688834
1311868165.59918809 0.25977088 0.05448557 -0.10913141 -0.00209230 -0.04646164 -0.03639234 0.99825475
1311868165.63115907 0.27470499 0.05446090 -0.11129157 -0.00141948 -0.04817006 -0.03709158 0.99814921
1311868165.66325092 0.28075830 0.05557317 -0.11362285 -0.00055128 -0.04580687 -0.03771192 0.99823807
1311868165.69918680 0.27666439 0.05272609 -0.12211343 -0.00022876 -0.04050076 -0.03943729 0.99840089
1311868165.73123407 0.27718223 0.05419906 -0.12765003 0.00058200 -0.03808497 -0.04019998 0.99846540
1311868165.76309991 0.28181050 0.06318628 -0.13287936 0.00228444 -0.03634550 -0.03975321 0.99854568
1311868165.79910707 0.29494779 0.07198291 -0.13939541 0.00339067 -0.03499747 -0.03934403 0.99860689
1311868165.83118606 0.29991345 0.07695994 -0.14189740 0.00254362 -0.03316667 -0.03919874 0.99867761
1311868165.86321998 0.32712571 0.10247270 -0.18656346 -0.00040193 -0.00945077 -0.04254313 0.99904985
1311868165.89916182 0.29665150 0.08904105 -0.15173702 0.00036635 -0.02585622 -0.03921988 0.99889595
1311868165.93115401 0.30113377 0.09218553 -0.15826176 0.00118802 -0.02196950 -0.03838589 0.99902075
1311868165.96315384 0.29687657 0.09561346 -0.16421376 0.00195453 -0.01704882 -0.03796625 0.99913166
1311868165.99913311 0.30174947 0.10320105 -0.16704361 0.00211062 -0.01584802 -0.03747313 0.99916973
1311868166.03120399 0.30130109 0.09343712 -0.18248574 -0.00429451 -0.01284215 -0.03216779 0.99939075
1311868166.06311083 0.29744366 0.10383801 -0.18683820 -0.00588493 -0.00847865 -0.02807304 0.99955259
1311868166.09920597 0.29096051 0.10557700 -0.18984591 -0.01061107 -0.00477720 -0.02928265 0.99950343
1311868166.13125396 0.28516533 0.11167477 -0.20147729 -0.01244680 -0.00225136 -0.02907638 0.99949716
1311868166.16318917 0.28851240 0.15157069 -0.26612386 -0.03072970 0.02135942 -0.01893324 0.99912011
1311868166.19921088 0.29655431 0.13669565 -0.21125157 -0.01496849 -0.00309039 -0.02873636 0.99947017
1311868166.23105001 0.30552587 0.13357401 -0.22040935 -0.02160391 -0.00325322 -0.02828111 0.99936123
1311868166.26317692 0.30095480 0.13940742 -0.23766342 -0.02521945 0.00092051 -0.02717117 0.99931219
1311868166.29920888 0.29599620 0.15062014 -0.23729536 -0.02802297 0.00558539 -0.02365162 0.99931182
1311868166.33118916 0.29242588 0.14968993 -0.23468509 -0.03647132 0.00858064 -0.02089379 0.99907941
1311868166.36312199 0.29965731 0.16496890 -0.23909260 -0.03726545 0.00733259 -0.02205004 0.99903519
1311868166.39923215 0.29979015 0.16556841 -0.24260405 -0.04259029 0.00799504 -0.02180807 0.99882258
1311868166.43117118 0.30939568 0.16360125 -0.25259597 -0.04641770 0.00716624 -0.02343194 0.99862154
1311868166.46301794 0.33691395 0.20348615 -0.33536953 -0.08238378 0.02217163 -0.02137593 0.99612469
1311868166.49919486 0.31986663 0.17463580 -0.26990637 -0.04663572 0.01251553 -0.02520886 0.99851539
1311868166.53125191 0.31772664 0.17873770 -0.27322741 -0.04676454 0.01541461 -0.02434454 0.99849027
1311868166.56313205 0.32381897 0.17948431 -0.27858901 -0.04653992 0.01569982 -0.02490082 0.99848260
1311868166.59920692 0.33136782 0.18062161 -0.28659399 -0.04600923 0.01505775 -0.02466122 0.99852303
1311868166.63128686 0.33620913 0.18163731 -0.28977769 -0.04565880 0.01441262 -0.02456709 0.99855095
1311868166.66328406 0.34267007 0.18164840 -0.29330684 -0.04538511 0.01367119 -0.02386790 0.99859081
1311868166.69927001 0.34880293 0.17853236 -0.29675081 -0.04564893 0.01329891 -0.02344840 0.99859375
1311868166.73110509 0.35232810 0.17348283 -0.30013814 -0.04641024 0.01332946 -0.02306518 0.99856718
1311868166.76333308 0.40123797 0.17978410 -0.33521783 -0.04311461 0.01462120 -0.01988362 0.99876523
1311868166.79922509 0.36253559 0.17316788 -0.30124374 -0.04453697 0.01091236 -0.02230737 0.99869903
1311868166.83122897 0.36986949 0.17698718 -0.30133588 -0.04215549 0.00899100 -0.02236528 0.99882024
1311868166.86322212 0.38040620 0.17963735 -0.30423999 -0.04031947 0.00594076 -0.02345567 0.99889383
1311868166.89930797 0.39649698 0.18253624 -0.30752716 -0.03782278 0.00142762 -0.02595220 0.99894639
1311868166.93115997 0.41187217 0.18958416 -0.31096184 -0.03338359 -0.00168985 -0.02931260 0.99901124
1311868166.96331191 0.42679946 0.18973206 -0.31344697 -0.03149069 -0.00515650 -0.03138276 0.99899793
1311868166.99928904 0.44151716 0.18702311 -0.31516143 -0.03108210 -0.00951483 -0.03284823 0.99893161
1311868167.03112698 0.45185887 0.18473915 -0.31739976 -0.03150651 -0.01365867 -0.03682484 0.99873155
1311868167.06320906 0.55405027 0.19091454 -0.33472335 -0.01844819 -0.04387459 -0.05845693 0.99715469
1311868167.09930301 0.46585507 0.18156675 -0.32410949 -0.03256580 -0.01977075 -0.04136829 0.99841737
1311868167.16323018 0.49995490 0.18746425 -0.31792965 -0.03031405 -0.03131130 -0.04577236 0.99800078
1311868167.19925809 0.50855088 0.18812500 -0.31587509 -0.02822147 -0.03496395 -0.04947505 0.99776415
1311868167.23126698 0.51702758 0.19006261 -0.31681097 -0.02579074 -0.03912023 -0.05348316 0.99746879
1311868167.26325107 0.53550403 0.19210489 -0.31624338 -0.02383809 -0.04628298 -0.05689023 0.99702213
1311868167.29914093 0.54105743 0.19112200 -0.31430863 -0.02300998 -0.04867703 -0.05885389 0.99681358
1311868167.33114481 0.54992450 0.19224705 -0.31534775 -0.02221659 -0.05069769 -0.06032203 0.99664308
1311868167.36327505 0.56027215 0.19346698 -0.31650873 -0.02198010 -0.05268606 -0.06173999 0.99645834
1311868167.39922595 0.68387965 0.20135793 -0.30259368 -0.01147474 -0.09239826 -0.08399814 0.99210645
1311868167.43123698 0.57532294 0.19827432 -0.31733325 -0.02131216 -0.05552847 -0.06195623 0.99630508
1311868167.46330285 0.58173738 0.19987908 -0.31699126 -0.02110781 -0.05768338 -0.06155484 0.99621187
1311868167.49912119 0.58995787 0.19995345 -0.31600720 -0.02094587 -0.06051122 -0.06223963 0.99600497
1311868167.53132105 0.60002981 0.19500870 -0.31547081 -0.02140372 -0.06329978 -0.06348697 0.99574315
1311868167.56315994 0.60897553 0.19328173 -0.31757274 -0.02126682 -0.06407472 -0.06406894 0.99565924
1311868167.59923005 0.61460866 0.19411294 -0.31741579 -0.02106881 -0.06468182 -0.06360581 0.99565389
1311868167.63149500 0.62006442 0.19412156 -0.31565344 -0.02097139 -0.06585779 -0.06372529 0.99557121
1311868167.66335988 0.62523006 0.19489797 -0.31538505 -0.02079299 -0.06726608 -0.06399239 0.99546366
1311868167.69922590 0.69044229 0.21017922 -0.31184008 -0.01761084 -0.08277800 -0.06509484 0.99428382
1311868167.73124099 0.63168396 0.21278351 -0.31570841 -0.01856544 -0.06877974 -0.06377141 0.99541844
1311868167.76328111 0.63591972 0.21761245 -0.31333556 -0.01848731 -0.06933250 -0.06438700 0.99534192
1311868167.79922414 0.63886883 0.21978982 -0.30657033 -0.01959276 -0.06981932 -0.06383209 0.99532249
1311868167.86309814 0.65439369 0.21667846 -0.29019573 -0.02119787 -0.07142611 -0.06363541 0.99518817
1311868167.89937592 0.66051169 0.21188411 -0.29398034 -0.01995163 -0.07102849 -0.06159330 0.99537086
1311868167.93118405 0.66342437 0.19812625 -0.29861132 -0.02057110 -0.07123014 -0.06098084 0.99538155
1311868167.99932504 0.66732627 0.20030963 -0.28498780 -0.01837009 -0.07220187 -0.05706154 0.99558697
1311868168.03126597 0.66809899 0.20169786 -0.27824394 -0.01754256 -0.07210946 -0.05538480 0.99570327
1311868168.06318307 0.70911578 0.20190544 -0.22896629 -0.01410402 -0.07546082 -0.04630205 0.99597332
1311868168.09929609 0.67205378 0.20306323 -0.26210539 -0.01530094 -0.07207991 -0.05504203 0.99576139
1311868168.13116193 0.67198629 0.20575451 -0.25236507 -0.01282004 -0.07191579 -0.05570725 0.99577129
1311868168.16328192 0.67122267 0.20781378 -0.24423536 -0.01039212 -0.07165928 -0.05637035 0.99578077
1311868168.19924712 0.67110972 0.20791842 -0.23865981 -0.00903538 -0.07165536 -0.05805140 0.99569770
1311868168.26325607 0.67195107 0.20515770 -0.22894009 -0.00952624 -0.07160435 -0.06144069 0.99549340
1311868168.29960608 0.67211671 0.20266854 -0.22418422 -0.01053575 -0.07242437 -0.06225449 0.99537334
1311868168.33122206 0.67296040 0.19844420 -0.22095635 -0.01194931 -0.07386217 -0.06367751 0.99516168
1311868168.36318016 0.67565338 0.19417577 -0.20894669 -0.01204371 -0.07618760 -0.06533448 0.99487778
1311868168.39935994 0.67691198 0.17974564 -0.11248422 -0.00185154 -0.08258735 -0.07932611 0.99341999
1311868168.43121409 0.67315690 0.18988662 -0.17839277 -0.00530689 -0.07771357 -0.07119608 0.99441619
1311868168.46333289 0.67041467 0.18930816 -0.17601094 0.00104821 -0.07760342 -0.07161088 0.99440861
1311868168.49926805 0.67248117 0.18312165 -0.16677963 0.00514753 -0.07924202 -0.07085918 0.99432046
1311868168.56331897 0.66813251 0.17932201 -0.16854227 0.01318156 -0.08042576 -0.07082892 0.99415351
1311868168.59936595 0.67154357 0.18004228 -0.16394837 0.01419225 -0.08376397 -0.06747861 0.99409698
1311868168.66331983 0.67199754 0.19147698 -0.13902938 0.02123591 -0.08731864 -0.06696640 0.99370015
1311868168.69955707 0.67304969 0.18861346 -0.12761166 0.02226741 -0.08738461 -0.06864268 0.99355738
1311868168.76330519 0.66869821 0.18469000 -0.11619199 0.02281761 -0.08718742 -0.06859356 0.99356562
1311868168.79936194 0.64629750 0.17335507 -0.03427140 0.05448791 -0.09724143 -0.06811528 0.99143103
1311868168.83117604 0.66260956 0.18499000 -0.10432298 0.02311783 -0.08976333 -0.06824728 0.99335312
1311868168.89930010 0.66885575 0.18704266 -0.07985024 0.02796001 -0.09628385 -0.07317618 0.99226655
1311868168.93121505 0.66772147 0.18435003 -0.07203254 0.03074242 -0.09747185 -0.07555773 0.99188970
1311868168.96334815 0.67035997 0.17670901 -0.06873766 0.03217566 -0.10060693 -0.07703035 0.99141782
1311868168.99937296 0.67513278 0.17581699 -0.06413625 0.03590951 -0.10508114 -0.07856968 0.99070443
1311868169.03121400 0.67263001 0.17938220 -0.05754666 0.04141050 -0.10712763 -0.08198037 0.98999397
1311868169.06335402 0.67305260 0.17675690 -0.04583075 0.04462396 -0.11058139 -0.08415815 0.98929160
1311868169.09933901 0.67122114 0.16778476 -0.03614219 0.04657885 -0.11377903 -0.08667756 0.98862113
1311868169.13124704 0.69438820 0.14004272 0.05898473 0.07867684 -0.15417756 -0.10785901 0.97898196
1311868169.19945192 0.69294376 0.17222369 0.00118107 0.06153828 -0.13424998 -0.09526363 0.98443630
1311868169.23135400 0.69309833 0.16487941 -0.00017544 0.06378183 -0.13905484 -0.09853924 0.98330344
1311868169.26327395 0.69348467 0.15873585 0.00693098 0.06600472 -0.14377329 -0.10212607 0.98211144
1311868169.29952884 0.70050138 0.15271831 0.01537685 0.06818790 -0.15127885 -0.10587889 0.98043602
1311868169.33129716 0.70009831 0.14845028 0.02541761 0.07253159 -0.15548288 -0.11126079 0.97886939
1311868169.36346984 0.69647233 0.14617754 0.02817735 0.07870985 -0.15835085 -0.11891673 0.97703049
1311868169.39943695 0.69914145 0.13987025 0.03625053 0.08234883 -0.16473828 -0.12209575 0.97528078
1311868169.43144011 0.70187117 0.14112871 0.04689591 0.08826013 -0.17138134 -0.12545961 0.97318984
1311868169.46322894 0.70743989 0.10361614 0.12796850 0.13489306 -0.22970231 -0.17342809 0.94813681
1311868169.49926305 0.70735576 0.13051685 0.06009303 0.09654183 -0.18153470 -0.13836599 0.96880322
