# timestamp tx ty tz qx qy qz qw
1311868164.36318111 -0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000
1311868164.39902592 -0.00406898 0.01209191 -0.00104013 0.00151277 0.00050997 -0.00187363 0.99999697
1311868164.43094015 -0.00271037 0.04087872 -0.00125263 0.00293761 -0.00484492 -0.00770816 0.99995424
1311868164.46305513 -0.00267163 0.03302973 -0.00239259 0.00312842 -0.00219445 -0.00622089 0.99997335
1311868164.49913001 0.00260035 0.03628289 -0.00664042 0.00268581 -0.00169163 -0.00900424 0.99995442
1311868164.53102493 0.03438317 0.05386835 -0.01746568 0.00361889 -0.00011383 -0.01742446 0.99984163
1311868164.56300402 0.02539374 0.03708934 -0.01237560 0.00286572 -0.00094379 -0.01171013 0.99992688
1311868164.59906101 0.03090476 0.03679577 -0.01520154 0.00396341 -0.00078524 -0.01343548 0.99990158
1311868164.63113999 0.03274127 0.04084523 -0.01822238 0.00704856 0.00035432 -0.01540240 0.99985647
1311868164.66310501 0.05581985 0.05041694 -0.03589647 0.01533289 -0.00001027 -0.02173365 0.99964621
1311868164.69898701 0.03915981 0.04679573 -0.02654512 0.00962172 -0.00220738 -0.01597463 0.99982366
1311868164.73104620 0.04365539 0.04369236 -0.02596682 0.00906051 -0.00380173 -0.01556431 0.99983059
1311868164.76309800 0.04875952 0.04878192 -0.02594035 0.01282689 -0.00510977 -0.01569824 0.99978144
1311868164.79913807 0.07450331 0.07314484 -0.02522963 0.02899893 -0.01179326 -0.01648721 0.99937388
1311868164.83100605 0.06276099 0.06685757 -0.02517051 0.02583426 -0.00696599 -0.01739616 0.99949059
1311868164.86305809 0.09294959 0.09427790 -0.03275800 0.04633858 -0.00827283 -0.02110624 0.99866852
1311868164.89913201 0.08950728 0.08660298 -0.02863037 0.03971291 -0.00818299 -0.02070727 0.99896303
1311868164.93093300 0.12462866 0.10499286 -0.03789440 0.05411906 -0.00751789 -0.02527270 0.99818631
1311868164.96311903 0.10877152 0.09621283 -0.04117920 0.04441394 -0.00836765 -0.02390279 0.99869217
1311868164.99903703 0.11467638 0.10045133 -0.04139652 0.04423114 -0.01017708 -0.02464569 0.99866542
1311868165.03112197 0.14191573 0.11096795 -0.04709076 0.04528372 -0.01841594 -0.02740267 0.99842843
1311868165.06310797 0.12867342 0.10284773 -0.04451234 0.04476098 -0.01639964 -0.02634977 0.99851550
1311868165.09916186 0.16202865 0.10932746 -0.05411358 0.04673929 -0.02805700 -0.03501583 0.99789886
1311868165.13101411 0.15091317 0.10650185 -0.04927630 0.04790857 -0.02247595 -0.03218811 0.99807992
1311868165.16314602 0.18816187 0.11895484 -0.05851155 0.05763962 -0.03060564 -0.04102980 0.99702433
1311868165.19914484 0.17423937 0.11306968 -0.05983856 0.05222391 -0.02721036 -0.03759133 0.99755659
1311868165.23119307 0.20134730 0.12446278 -0.08114580 0.05439185 -0.03080874 -0.04304338 0.99711565
1311868165.26300502 0.18701724 0.12838341 -0.07085894 0.05435995 -0.02908112 -0.04108041 0.99725207
1311868165.29910302 0.23094649 0.16935545 -0.07109133 0.05913473 -0.04286487 -0.04777156 0.99618450
1311868165.33122587 0.22007243 0.15764795 -0.06824756 0.05681863 -0.04060727 -0.04565055 0.99651328
1311868165.36306000 0.26065912 0.16662139 -0.06461045 0.05248549 -0.05430930 -0.04877334 0.99595027
1311868165.39915991 0.24195417 0.16210472 -0.07377067 0.05561820 -0.04615762 -0.04751071 0.99625239
1311868165.43096185 0.27592147 0.19703066 -0.08660523 0.06071018 -0.05107509 -0.05040962 0.99557244
1311868165.46311402 0.27180411 0.22095964 -0.08071351 0.06203314 -0.04980779 -0.04719172 0.99571282
1311868165.49917889 0.28792630 0.23383212 -0.06571527 0.06097843 -0.05525638 -0.04461225 0.99560942
1311868165.53112411 0.27717022 0.22844415 -0.07324295 0.05968545 -0.05195861 -0.04552479 0.99582400
1311868165.56305385 0.30852355 0.23927158 -0.07881034 0.05249298 -0.05578969 -0.04405340 0.99608800
1311868165.59918809 0.30229657 0.22948012 -0.07825618 0.05670651 -0.05488617 -0.04644889 0.99579836
1311868165.63115907 0.34248589 0.23110428 -0.08449152 0.05829989 -0.05917235 -0.04936425 0.99532051
1311868165.66325092 0.33663963 0.23059697 -0.08297699 0.05826213 -0.05820659 -0.04764423 0.99546348
1311868165.69918680 0.33327614 0.23026172 -0.08810064 0.05906107 -0.05337985 -0.04819555 0.99566037
1311868165.73123407 0.33195934 0.23104255 -0.09328222 0.05966853 -0.05015349 -0.04910048 0.99574768
1311868165.76309991 0.35326898 0.25152173 -0.12365676 0.06495894 -0.03765487 -0.05000401 0.99592271
1311868165.79910707 0.37238491 0.27029996 -0.10885153 0.06624997 -0.04889619 -0.04513919 0.99558152
1311868165.83118606 0.36136982 0.26977939 -0.11331220 0.06568150 -0.04697083 -0.04615374 0.99566536
1311868165.86321998 0.37633720 0.30388393 -0.12054273 0.06725035 -0.04097236 -0.04789927 0.99574310
1311868165.89916182 0.37315855 0.29143639 -0.11720213 0.06724635 -0.04288708 -0.04763590 0.99567537
1311868165.93115401 0.39055565 0.31118850 -0.13323291 0.07068631 -0.03365747 -0.04566863 0.99588403
1311868165.96315384 0.38348538 0.30138646 -0.12866588 0.06940159 -0.03715948 -0.04528650 0.99586732
1311868165.99913311 0.38924212 0.34214293 -0.14799378 0.07670619 -0.02912436 -0.04194876 0.99574506
1311868166.03120399 0.40192413 0.35466608 -0.14728233 0.07761644 -0.03228890 -0.03826413 0.99572535
1311868166.06311083 0.40384106 0.38258370 -0.15353658 0.07989004 -0.03073475 -0.03293850 0.99578512
1311868166.09920597 0.40305444 0.40184234 -0.14444390 0.08015546 -0.02973114 -0.03739102 0.99563702
1311868166.13125396 0.39806800 0.39986026 -0.14471814 0.08125150 -0.02931704 -0.03818846 0.99553018
1311868166.16318917 0.40600532 0.41997073 -0.15641123 0.07376723 -0.02941977 -0.03936999 0.99606369
1311868166.19921088 0.41642498 0.44386395 -0.15423027 0.07845986 -0.03027364 -0.03793053 0.99573532
1311868166.23105001 0.41947563 0.46752974 -0.15638898 0.08106088 -0.02952936 -0.03567097 0.99563283
1311868166.26317692 0.43206033 0.48449877 -0.16106075 0.07961740 -0.02979912 -0.03291853 0.99583606
1311868166.29920888 0.43038481 0.50528622 -0.16128080 0.07871652 -0.02652942 -0.02751408 0.99616408
1311868166.33118916 0.43138690 0.50290065 -0.15294627 0.07768737 -0.02768602 -0.02950549 0.99615640
1311868166.36312199 0.43224604 0.49649348 -0.16181610 0.06844067 -0.02710803 -0.02979018 0.99684180
1311868166.39923215 0.44826854 0.53955698 -0.17381631 0.05834397 -0.02694250 -0.03022381 0.99747511
1311868166.43117118 0.45944975 0.55401771 -0.16579636 0.07500464 -0.02943637 -0.03148801 0.99625113
1311868166.46301794 0.47583764 0.57591794 -0.17351629 0.07895463 -0.02739720 -0.03217574 0.99598207
1311868166.49919486 0.46735354 0.56742386 -0.16755448 0.07803492 -0.02503977 -0.03122582 0.99614683
1311868166.53125191 0.46550139 0.57225794 -0.16992845 0.07788579 -0.02227015 -0.03001636 0.99626144
1311868166.56313205 0.48173487 0.59383549 -0.17897014 0.08085389 -0.01588969 -0.02940573 0.99616538
1311868166.59920692 0.47945003 0.57523521 -0.18019638 0.07802125 -0.02283567 -0.03033598 0.99622836
1311868166.63128686 0.48654557 0.57747002 -0.18371184 0.07838413 -0.02401911 -0.03022900 0.99617530
1311868166.66328406 0.51644480 0.58342836 -0.20137457 0.07908172 -0.02860691 -0.02778091 0.99607025
1311868166.69927001 0.50251590 0.58011261 -0.18980973 0.07938250 -0.02618265 -0.02840942 0.99609527
1311868166.73110509 0.50976472 0.57914322 -0.19328846 0.07934971 -0.02723568 -0.02700255 0.99610878
1311868166.76333308 0.54112281 0.58735054 -0.19703443 0.08490094 -0.03281615 -0.02390845 0.99556181
1311868166.79922509 0.52197455 0.58538073 -0.19098867 0.08338720 -0.03024953 -0.02639930 0.99570810
1311868166.83122897 0.52927329 0.58896451 -0.18948321 0.08575791 -0.03216038 -0.02659544 0.99544160
1311868166.86322212 0.56238935 0.60103267 -0.18841735 0.09348497 -0.04106715 -0.02943032 0.99433792
1311868166.89930797 0.55079588 0.58995756 -0.19195979 0.08778723 -0.03788811 -0.02942159 0.99498355
1311868166.93115997 0.58558111 0.59385955 -0.19282707 0.09365687 -0.04435417 -0.03727201 0.99391745
1311868166.96331191 0.57196959 0.59360131 -0.19325921 0.09228742 -0.04098832 -0.03505482 0.99427066
1311868166.99928904 0.60332259 0.60276539 -0.18791949 0.10015862 -0.04699458 -0.04380088 0.99289538
1311868167.03112698 0.59465386 0.60171897 -0.18954283 0.09641377 -0.04736871 -0.04050663 0.99338804
1311868167.06320906 0.63233873 0.61011044 -0.18424891 0.09905857 -0.06100162 -0.04931353 0.99198507
1311868167.09930301 0.61829381 0.60430319 -0.18935851 0.09703122 -0.05590134 -0.04511772 0.99268544
1311868167.16323018 0.69554704 0.61111461 -0.16961508 0.10151659 -0.08131764 -0.05794449 0.98981021
1311868167.19925809 0.66211885 0.60851686 -0.17432719 0.10138931 -0.07039416 -0.05364776 0.99090201
1311868167.23126698 0.70940291 0.61736709 -0.16090836 0.11068420 -0.08750356 -0.06432374 0.98790414
1311868167.26325107 0.69260141 0.61547624 -0.16801177 0.10711278 -0.08148211 -0.06145819 0.98899464
1311868167.29914093 0.72847470 0.61668030 -0.15821909 0.11195523 -0.09310383 -0.07122639 0.98677480
1311868167.33114481 0.71457502 0.61652717 -0.16542214 0.10921145 -0.08692872 -0.06590911 0.98801429
1311868167.36327505 0.74728732 0.62358076 -0.16659029 0.11125911 -0.09251833 -0.07048166 0.98696206
1311868167.39922595 0.73446585 0.62268176 -0.16607009 0.11045249 -0.09006966 -0.06788821 0.98746083
1311868167.43123698 0.74093686 0.62623863 -0.16485972 0.11090186 -0.09162841 -0.06779256 0.98727361
1311868167.46330285 0.77056280 0.63638416 -0.16205825 0.11242856 -0.09897243 -0.06816153 0.98636620
1311868167.49912119 0.75291702 0.62710669 -0.16208105 0.11107847 -0.09573069 -0.06856903 0.98681077
1311868167.53132105 0.76254696 0.62645577 -0.16111828 0.11194298 -0.09781679 -0.07036953 0.98638166
1311868167.56315994 0.79607304 0.62476073 -0.15805158 0.11369315 -0.10399928 -0.07367541 0.98530703
1311868167.59923005 0.77897297 0.62712305 -0.16035998 0.11264050 -0.09991832 -0.07057260 0.98607705
1311868167.63149500 0.78462263 0.62769734 -0.15867759 0.11289198 -0.10101301 -0.07073966 0.98592478
1311868167.66335988 0.78885034 0.62953038 -0.15870622 0.11324175 -0.10199830 -0.07097701 0.98576616
1311868167.69922590 0.81268359 0.64661552 -0.15419767 0.11593846 -0.10656446 -0.07120670 0.98495274
1311868167.73124099 0.79384703 0.64687031 -0.15549555 0.11538209 -0.10302713 -0.07101632 0.98540807
1311868167.76328111 0.79778949 0.65088239 -0.15159028 0.11547726 -0.10349015 -0.07169541 0.98529922
1311868167.79922414 0.80777048 0.66585792 -0.13075004 0.11452917 -0.10533433 -0.07154055 0.98522571
1311868167.86309814 0.81215058 0.65017247 -0.13558842 0.11421456 -0.10499007 -0.07052169 0.98537242
1311868167.89937592 0.83275038 0.64475774 -0.10719411 0.11770624 -0.10520998 -0.06797816 0.98511678
1311868167.93118405 0.81976653 0.65381421 -0.11934933 0.12069183 -0.10605451 -0.06726845 0.98471360
1311868167.99932504 0.82344957 0.65546998 -0.11576409 0.12315008 -0.10791963 -0.06204966 0.98454926
1311868168.03126597 0.82357316 0.65400480 -0.11154780 0.12323738 -0.10824235 -0.05993188 0.98463410
1311868168.06318307 0.84065419 0.65543407 -0.08497003 0.13100641 -0.11363138 -0.04932234 0.98361198
1311868168.09929609 0.83005106 0.65016703 -0.09527952 0.12515511 -0.10922269 -0.05944510 0.98431341
1311868168.13116193 0.82939548 0.64830791 -0.06500881 0.13174838 -0.10876810 -0.06045813 0.98344124
1311868168.16328192 0.82930707 0.64801843 -0.07632812 0.12932092 -0.10913423 -0.06088757 0.98369636
1311868168.19924712 0.82713273 0.64639222 -0.07134486 0.13040976 -0.10845628 -0.06216326 0.98354779
1311868168.26325607 0.82994705 0.63514130 -0.04342620 0.13314076 -0.10839277 -0.06992089 0.98266760
1311868168.29960608 0.82843730 0.64086926 -0.05843333 0.13017040 -0.10910393 -0.06607614 0.98325274
1311868168.33122206 0.82795623 0.64007122 -0.05244125 0.13018225 -0.11016233 -0.06742693 0.98304143
1311868168.36318016 0.82896060 0.62534308 -0.01894318 0.12983320 -0.11575651 -0.07244320 0.98208745
1311868168.39935994 0.82815305 0.63021708 -0.02745877 0.13338660 -0.11292887 -0.07082575 0.98205845
1311868168.43121409 0.81618348 0.61465841 0.00939973 0.14589438 -0.11226906 -0.08006727 0.97964265
1311868168.46333289 0.82245485 0.62246492 -0.00677009 0.14399311 -0.11228399 -0.07595037 0.98024988
1311868168.49926805 0.81847512 0.62099312 -0.00368575 0.15064339 -0.11220528 -0.07534020 0.97930608
1311868168.56331897 0.81226590 0.60591288 0.02350615 0.17781066 -0.11616232 -0.07683037 0.97415952
1311868168.59936595 0.81755974 0.61835312 0.01514504 0.16074679 -0.11576203 -0.07548453 0.97727259
1311868168.66331983 0.81580762 0.62408933 0.05991999 0.17628804 -0.12211113 -0.07666804 0.97372142
1311868168.69955707 0.81918213 0.62111681 0.04437087 0.17004417 -0.11883498 -0.07663229 0.97523880
1311868168.76330519 0.81241890 0.62019470 0.08002160 0.17782891 -0.11878437 -0.07608082 0.97389879
1311868168.79936194 0.81524307 0.61953987 0.06127079 0.17281983 -0.12029519 -0.07651469 0.97458087
1311868168.83117604 0.81774012 0.61616972 0.07234769 0.17304450 -0.12380249 -0.07710059 0.97405546
1311868168.89930010 0.82769839 0.59727567 0.13998272 0.18109646 -0.14194154 -0.08695688 0.96927559
1311868168.93121505 0.81957647 0.60991988 0.11089728 0.18170983 -0.13027329 -0.08485190 0.97098433
1311868168.96334815 0.81678883 0.60002292 0.14055394 0.19383393 -0.13303152 -0.09638081 0.96718238
1311868168.99937296 0.82150906 0.60358931 0.13069435 0.19033000 -0.13379939 -0.09396835 0.96800938
1311868169.03121400 0.83232504 0.60442161 0.16507380 0.20674773 -0.14505710 -0.10508925 0.96185761
1311868169.06335402 0.82786981 0.60757551 0.16176180 0.20271499 -0.14165080 -0.09986487 0.96377834
1311868169.09933901 0.83292557 0.60228708 0.19643116 0.21853288 -0.15320745 -0.10654375 0.95782007
1311868169.13124704 0.83118893 0.60022243 0.17896364 0.21234433 -0.14836055 -0.10734273 0.95988362
1311868169.19945192 0.86047632 0.58117948 0.22016857 0.23218162 -0.17997200 -0.12395958 0.94780578
1311868169.23135400 0.85212618 0.58599561 0.20707152 0.22368861 -0.16863857 -0.12015654 0.95241107
1311868169.26327395 0.86174327 0.56243967 0.22704376 0.23085774 -0.18576738 -0.13290918 0.94579614
1311868169.29952884 0.85473100 0.56807628 0.21547802 0.22706661 -0.17735749 -0.13073716 0.94862683
1311868169.33129716 0.85626279 0.54191879 0.22833735 0.23728087 -0.18991649 -0.15087710 0.94067296
1311868169.36346984 0.85684690 0.55357151 0.22953649 0.23740561 -0.18510493 -0.14552882 0.94244157
1311868169.39943695 0.86375353 0.53216602 0.24757661 0.25122040 -0.20060104 -0.16198120 0.93295746
1311868169.43144011 0.86543210 0.53498381 0.24300408 0.24475709 -0.19760936 -0.15726823 0.93611496
1311868169.46322894 0.86281204 0.52817619 0.23944534 0.24725661 -0.20240565 -0.15991350 0.93398276
